"","time","country","estimated_deaths_forecast","estimated_deaths_forecast_min","estimated_deaths_forecast_max","rt","rt_min","rt_max"
"68",2020-05-30,"Bretagne",7876.30125560054,0.0363483378399493,23628.7594578669,0.785532382777069,0.0611617385380539,1.52873842627564
"69",2020-05-31,"Bretagne",7819.98625376041,0.0320206013641853,23285.0658817213,0.773988193877604,0.0611401985038127,1.51782604737829
"70",2020-06-01,"Bretagne",7750.37986338698,0.0279882753836368,23148.5127943844,0.76291029601644,0.0611235405000104,1.50586069605485
"71",2020-06-02,"Bretagne",7668.61789864677,0.0245957782452332,22820.4583466822,0.752280029544431,0.0611106587269766,1.49393596037878
"72",2020-06-03,"Bretagne",7575.81377859092,0.0216074817745468,22574.2805597053,0.74207901567932,0.0611006975728452,1.48480958799655
"73",2020-06-04,"Bretagne",7473.05102941905,0.0188719720250607,22108.2233614958,0.73228924731162,0.0610929951155564,1.47426903944898
"74",2020-06-05,"Bretagne",7361.37753659833,0.0165076274345174,21796.8079976178,0.722893163258087,0.0610870393439646,1.46752290496256
"75",2020-06-06,"Bretagne",7241.80132711369,0.0145433557127156,21520.7219793127,0.713873706124148,0.0610824342485058,1.45719298264493
"76",2020-06-07,"Bretagne",7115.2877405319,0.0128918692242903,21021.007917918,0.705214364832673,0.0610788735657035,1.44865029289298
"77",2020-06-08,"Bretagne",6982.75779550474,0.0114029941295516,20708.1752734183,0.696899203516641,0.061076120455024,1.43867546878247
"78",2020-06-09,"Bretagne",6845.08715963978,0.00981646179918863,20336.1591181404,0.688912878857397,0.0610739917716062,1.42818350640731
"79",2020-06-10,"Bretagne",6703.1052915572,0.00859580406805011,19886.0782933149,0.681240648092803,0.0610723458980321,1.42029342265078
"80",2020-06-11,"Bretagne",6557.59464834358,0.00756046738020242,19496.0682888459,0.673868369850976,0.0610710733312845,1.41202415903085
"81",2020-06-12,"Bretagne",6409.29020759093,0.00677464061852005,19172.2683947975,0.666782499732585,0.0610700894019922,1.40386590012368
"82",2020-06-13,"Bretagne",6258.87928661058,0.0061074471258423,18984.577095102,0.659970082225313,0.0610693286435243,1.39735061755856
"83",2020-06-14,"Bretagne",6107.00180391265,0.00550738891085383,18546.0427476019,0.653418740148511,0.061068740437405,1.38883958742175
"84",2020-06-15,"Bretagne",5954.25099309391,0.0048793768142056,18163.7578930467,0.647116662448311,0.0610682856459615,1.38109229845294
"85",2020-06-16,"Bretagne",5801.17428777368,0.00429248708061422,17786.1010770811,0.641052590835739,0.0610679340084961,1.37521346224018
"86",2020-03-24,"Corse",3.52098721339466,1.05279130928849,8.8244524651994,2.0034573991291,0.351580433767442,3.98539091943332
"87",2020-03-25,"Corse",4.17308886754645,1.2274002996774,10.4034310132021,2.00322672243033,0.351577814837439,3.98483784406245
"88",2020-03-26,"Corse",4.92023476119891,1.40331251190357,12.5627243029329,2.00294228744139,0.351575478758131,3.98412823515275
"89",2020-03-27,"Corse",5.77499504324587,1.61042278835728,15.1348156546505,2.00258915373846,0.351573406952198,3.98321787573704
"90",2020-03-28,"Corse",6.75076819438475,1.82683198265218,17.8643529223784,2.00214763431703,0.351571575422812,3.98205007897884
"91",2020-03-29,"Corse",7.86893822628222,2.06054529625784,21.3192123980179,2.00159165903926,0.35156995904412,3.98055220699801
"92",2020-03-30,"Corse",9.15671207456754,2.26985767534243,25.5626751297998,2.00088658580142,0.351568533711532,3.97863122844872
"93",2020-03-31,"Corse",10.6477437817642,2.43833071039194,30.4575973196608,1.99998634723306,0.351567277276954,3.97616806164012
"94",2020-04-01,"Corse",12.3869484562096,2.61605142273915,36.4443923873296,1.99882990810815,0.351566169840069,3.97167024826393
"95",2020-04-02,"Corse",14.4298225127647,2.78757391687469,44.5672834942445,1.99733727643174,0.351565193724465,3.96378285915252
"96",2020-04-03,"Corse",16.8489975570057,2.92941802425946,54.5275943322461,1.99540593592539,0.351564333316751,3.95602305288172
"97",2020-04-04,"Corse",19.7377340446574,3.04365567038955,68.4822632923698,1.99290974446824,0.35156357485942,3.94686380465951
"98",2020-04-05,"Corse",23.2153382809238,3.0680928134941,86.172021028454,1.98970392667803,0.351562906240263,3.92369138556847
"99",2020-04-06,"Corse",27.4332872243918,3.13272827253681,106.975458561254,1.98564024691865,0.35156231679634,3.89654338291801
"100",2020-04-07,"Corse",32.5844012394341,3.16596984021915,135.907220367877,1.98059158235405,0.351561797138392,3.84815388108133
"101",2020-04-08,"Corse",38.9160209294126,3.16433523771847,173.674853593464,1.97447136997589,0.35156133899618,3.79743253852174
"102",2020-04-09,"Corse",46.7361354590347,3.2037189752788,217.721759136634,1.96722399581722,0.351560935083073,3.75694485878738
"103",2020-04-10,"Corse",56.4274485662387,3.1662315785804,277.245788631273,1.95879127230869,0.347202331213305,3.69449963765305
"104",2020-04-11,"Corse",68.4523666718259,3.15880838508655,346.548488684383,1.94910193314082,0.347202224945974,3.59635407508449
"105",2020-04-12,"Corse",83.3623285398094,3.05347418297095,432.682648229506,1.93808378483581,0.347062820138883,3.49957418857196
"106",2020-04-13,"Corse",101.797806725784,2.96161865161129,548.154870651106,1.9256573568126,0.345430932999486,3.41214495812617
"107",2020-04-14,"Corse",124.48402486838,2.87904746576779,693.579415044129,1.91174400033454,0.341505599773475,3.31101517904576
"108",2020-04-15,"Corse",152.233192125371,2.80873919695761,873.947875695462,1.89630253494262,0.341505514243858,3.23283572907273
"109",2020-04-16,"Corse",185.933396234991,2.7014805580317,1093.62287446366,1.87934313492274,0.334346155956621,3.15706176339104
"110",2020-04-17,"Corse",226.535917395327,2.5693749809212,1357.95461140374,1.86089906950657,0.326511465708189,3.08303367545264
"111",2020-04-18,"Corse",275.047368576845,2.38995027309162,1691.16571667552,1.84098929215373,0.315052465916092,3.01161283908169
"112",2020-04-19,"Corse",332.512111375086,2.23102264581112,2095.4021096924,1.81960452117516,0.30530719495225,2.9361545640608
"113",2020-04-20,"Corse",399.989366950453,2.11993539564216,2597.32524090046,1.79671748855786,0.297551541718165,2.86945437693556
"114",2020-04-21,"Corse",478.535460536516,1.97822719641496,3222.04441827465,1.77230646000053,0.267186308352987,2.80112360792258
"115",2020-04-22,"Corse",569.180929916071,1.85772737544214,3896.95295992514,1.74638059992174,0.253146767328016,2.74419908063654
"116",2020-04-23,"Corse",672.905642502817,1.74140579626541,4747.37405516256,1.71899509277806,0.244116404870427,2.67946339717493
"117",2020-04-24,"Corse",790.621255924108,1.61660335950859,5789.41923120272,1.69025186600727,0.230654174409018,2.62526838404008
"118",2020-04-25,"Corse",923.148483897544,1.50633418460448,6989.01463520305,1.66029096012829,0.204614926376693,2.5677660577526
"119",2020-04-26,"Corse",1071.1925695799,1.40538724291671,8444.0045528131,1.62927960686192,0.18161335479976,2.51714702694931
"120",2020-04-27,"Corse",1235.32359384311,1.29402826915805,9969.31765097554,1.59740305182446,0.161080680561975,2.47857672275893
"121",2020-04-28,"Corse",1415.9502801503,1.17964005847919,11681.8568967996,1.56485762319448,0.145573450131044,2.43311687028026
"122",2020-04-29,"Corse",1613.28825480379,1.07355988665452,13639.362025974,1.53184478963619,0.135870924071027,2.3734083061841
"123",2020-04-30,"Corse",1827.3314526364,0.967970720369816,15572.7948400791,1.49856515262855,0.120351908871269,2.32957846726963
"124",2020-05-01,"Corse",2057.8247245732,0.873196203431159,17491.7916141207,1.46521235073519,0.107053324526265,2.28728959513887
"125",2020-05-02,"Corse",2304.23591843652,0.782833310169211,19417.2732599811,1.43196754560601,0.0992460456312271,2.24362099206131
"126",2020-05-03,"Corse",2565.73922804351,0.706138550221115,21270.0101027271,1.39899519148144,0.0864813632251786,2.20701768521866
"127",2020-05-04,"Corse",2841.20566038314,0.648362819234901,22861.6212081828,1.36644044592908,0.0736260387142236,2.17611729750302
"128",2020-05-05,"Corse",3129.19667343037,0.581614974868071,24564.8666903433,1.33442816888099,0.071119800659631,2.1418060292017
"129",2020-05-06,"Corse",3427.97444247217,0.523042790839441,25810.1501259982,1.3030631428076,0.0652446659536607,2.10821531276465
"130",2020-05-07,"Corse",3735.52185823232,0.470283821836196,26669.8567732569,1.27243101593618,0.0628754399128918,2.0710834159576
"131",2020-05-08,"Corse",4049.57290822662,0.415365234343125,27304.5284359926,1.24259954255522,0.0607515910422583,2.03762793470249
"132",2020-05-09,"Corse",4367.65530689255,0.367873571790498,27711.6932467019,1.21361989496581,0.0592185014798569,2.00778271036918
"133",2020-05-10,"Corse",4687.14410474344,0.327972675533146,28011.6415920887,1.18552802253,0.0575501545182175,1.97779208559488
"134",2020-05-11,"Corse",5005.31892935532,0.301932922854639,28356.7419251973,1.15834613823866,0.0562710318438544,1.95397773919332
"135",2020-05-12,"Corse",5319.42326057297,0.27637633693789,28500.9218427823,1.13208440587145,0.0548273535925794,1.9302843135239
"136",2020-05-13,"Corse",5626.72472901086,0.247644837693455,28535.2960733518,1.1067428266583,0.0534934697244353,1.90545248125534
"137",2020-05-14,"Corse",5924.57149225323,0.223980391050519,28688.1613884875,1.08231324167215,0.0526835727983943,1.87936177155418
"138",2020-05-15,"Corse",6210.44434978549,0.198391462040657,28675.5736570169,1.05878131303405,0.0521748923976714,1.85555078481056
"139",2020-05-16,"Corse",6482.0073536576,0.177067998942585,28280.6191381183,1.03612833678713,0.0517842636304417,1.83241038450409
"140",2020-05-17,"Corse",6737.15207657528,0.158542282822769,28030.3685481781,1.01433276961432,0.0514531975567646,1.81062987282979
