"","key","value","x","country","region"
"209","lockdown",2020-03-17,4.3,"France","Marne"
"210","social_distancing_encouraged",2020-03-16,4,"France","Marne"
"211","schools_universities",2020-03-14,4.3,"France","Haute-Marne"
"212","self_isolating_if_ill",2020-03-16,4.3,"France","Haute-Marne"
"213","public_events",2020-03-13,4.3,"France","Haute-Marne"
"214","lockdown",2020-03-17,4.3,"France","Haute-Marne"
"215","social_distancing_encouraged",2020-03-16,4,"France","Haute-Marne"
"216","schools_universities",2020-03-14,4.3,"France","Mayenne"
"217","self_isolating_if_ill",2020-03-16,4.3,"France","Mayenne"
"218","public_events",2020-03-13,4.3,"France","Mayenne"
"219","lockdown",2020-03-17,4.3,"France","Mayenne"
"220","social_distancing_encouraged",2020-03-16,4,"France","Mayenne"
"221","schools_universities",2020-03-14,3.3,"France","Meurthe-et-Moselle"
"222","self_isolating_if_ill",2020-03-16,3.3,"France","Meurthe-et-Moselle"
"223","public_events",2020-03-13,3.3,"France","Meurthe-et-Moselle"
"224","lockdown",2020-03-17,3.3,"France","Meurthe-et-Moselle"
"225","social_distancing_encouraged",2020-03-16,3,"France","Meurthe-et-Moselle"
"226","schools_universities",2020-03-14,4.3,"France","Meuse"
"227","self_isolating_if_ill",2020-03-16,4.3,"France","Meuse"
"228","public_events",2020-03-13,4.3,"France","Meuse"
"229","lockdown",2020-03-17,4.3,"France","Meuse"
"230","social_distancing_encouraged",2020-03-16,4,"France","Meuse"
"231","schools_universities",2020-03-14,3.3,"France","Morbihan"
"232","self_isolating_if_ill",2020-03-16,3.3,"France","Morbihan"
"233","public_events",2020-03-13,3.3,"France","Morbihan"
"234","lockdown",2020-03-17,3.3,"France","Morbihan"
"235","social_distancing_encouraged",2020-03-16,3,"France","Morbihan"
"236","schools_universities",2020-03-14,3.3,"France","Moselle"
"237","self_isolating_if_ill",2020-03-16,3.3,"France","Moselle"
"238","public_events",2020-03-13,3.3,"France","Moselle"
"239","lockdown",2020-03-17,3.3,"France","Moselle"
"240","social_distancing_encouraged",2020-03-16,3,"France","Moselle"
"241","schools_universities",2020-03-14,4.3,"France","Nièvre"
"242","self_isolating_if_ill",2020-03-16,4.3,"France","Nièvre"
"243","public_events",2020-03-13,4.3,"France","Nièvre"
"244","lockdown",2020-03-17,4.3,"France","Nièvre"
"245","social_distancing_encouraged",2020-03-16,4,"France","Nièvre"
"246","schools_universities",2020-03-14,4.3,"France","Nord"
"247","self_isolating_if_ill",2020-03-16,4.3,"France","Nord"
"248","public_events",2020-03-13,4.3,"France","Nord"
"249","lockdown",2020-03-17,4.3,"France","Nord"
"250","social_distancing_encouraged",2020-03-16,4,"France","Nord"
"251","schools_universities",2020-03-14,3.3,"France","Oise"
"252","self_isolating_if_ill",2020-03-16,3.3,"France","Oise"
"253","public_events",2020-03-13,3.3,"France","Oise"
"254","lockdown",2020-03-17,3.3,"France","Oise"
