"","time","country","estimated_deaths_forecast","estimated_deaths_forecast_min","estimated_deaths_forecast_max","estimated_deaths_forecast_c","estimated_deaths_forecast_min_c","estimated_deaths_forecast_max_c","estimated_cases_forecast_c","estimated_cases_forecast_min_c","estimated_cases_forecast_max_c","estimated_cases_forecast","estimated_cases_forecast_min","estimated_cases_forecast_max","rt","rt_min","rt_max"
"471",2020-05-17,"Hauts-de-France",5855.94457097391,0.528327365286154,23769.8776529901,94541.6718366485,668.793398192338,526109.5685445,19406022.183828,42233.4672319131,95564647.4877543,416979.462119329,0.538249860788481,1477368.43637226,0.918606531259323,0.149474410922808,1.46243729343132
"472",2020-05-18,"Hauts-de-France",5963.24511628946,0.458861404590369,23387.4735035388,100504.916952938,669.252259596928,549497.042048039,19812709.0709819,42233.9397276755,97002901.3958684,406686.887153951,0.472495762338305,1438253.90811414,0.906148032905329,0.148406755639078,1.44972223294183
"473",2020-05-19,"Hauts-de-France",6054.28608789685,0.408174065675124,23046.8595267055,106559.203040835,669.660433662603,572543.901574745,20209164.2556231,42234.3519019028,98401474.4181763,396455.184641163,0.412174227326742,1398573.02230794,0.894096597748859,0.147535420141965,1.43740121763375
"474",2020-05-20,"Hauts-de-France",6129.27262663097,0.35816138050122,22812.189319803,112688.475667466,670.018595043105,595356.090894548,20595462.0516064,42234.7114556445,99776087.7479656,386297.795983251,0.359553741697606,1374613.32978931,0.882442365768785,0.146824269036834,1.42739867874573
"475",2020-05-21,"Hauts-de-France",6188.55736484644,0.311424389373271,22305.6924625145,118877.033032312,670.330019432478,617661.783357062,20971689.450229,42235.0251067756,101114087.703557,376227.398622633,0.313651131106605,1337999.9555913,0.871175501245914,0.146243837368936,1.41640043241599
"476",2020-05-22,"Hauts-de-France",6232.61809510575,0.27081926200394,21847.8458815019,125109.651127418,670.600838694482,639509.629238564,21337945.5075168,42235.2987155172,102422595.026339,366256.057287805,0.273608741610806,1308507.32278161,0.860286208259321,0.145770090144822,1.40458992824999
"477",2020-05-23,"Hauts-de-France",6262.03719254095,0.238413079560049,21484.8539892837,131371.688319959,670.839251774042,660994.483227848,21694340.8410091,42235.5374359808,103699065.324141,356395.333492305,0.238720463545306,1276470.2978024,0.84976473955,0.145383416551811,1.39167477625735
"478",2020-05-24,"Hauts-de-France",6277.48132812307,0.211830682903087,21148.6264786331,137649.169648082,671.051082456945,682143.109706481,22040997.194236,42235.7457605637,104939847.774234,346656.353226887,0.208324582924648,1240782.45009263,0.839601400475198,0.145067812841626,1.38518384055481
"479",2020-05-25,"Hauts-de-France",6279.68135219662,0.188122779125508,21046.6031821224,143928.851000279,671.23920523607,703189.712888604,22378047.0254093,42235.9275603259,106149800.095825,337049.831173361,0.181799762160108,1209952.32159167,0.829786549660484,0.145011973547071,1.3783415885255
"480",2020-05-26,"Hauts-de-France",6269.41520519168,0.161641553872329,20553.6352771034,150198.26620547,671.400846789943,723743.348165707,22705633.0778609,42236.0862132363,107329375.620939,327586.05245159,0.158652910440575,1179575.52511361,0.820310597943065,0.145006715517042,1.36918181550224
"481",2020-05-27,"Hauts-de-France",6247.49133673056,0.140927537523637,20329.9899200675,156445.757542201,671.541774327466,744073.338085775,23023907.8953593,42236.2246669933,108474473.178339,318274.817498411,0.138453757008841,1145097.55739971,0.81116400713418,0.14500242396695,1.35903952383937
"482",2020-05-28,"Hauts-de-France",6214.73442561335,0.12221922929472,19931.047725892,162660.491967814,671.663993556761,764004.385811667,23333033.2554451,42236.3462803925,109593602.6311,309125.360085792,0.121613399201349,1119129.45276122,0.802337289936234,0.144998921267212,1.35042551770499
"483",2020-05-29,"Hauts-de-France",6171.9729857236,0.106451843634622,19561.2411802845,168832.464953538,671.770445400396,783565.626991951,23633179.5067539,42236.4538090557,110690837.496695,300146.251308787,0.107528663149737,1097234.86559508,0.793821012027378,0.144996062429705,1.34300597504596
"484",2020-05-30,"Hauts-de-France",6120.02900386792,0.093822722779364,19249.6241806392,174952.493957406,671.864268123175,802815.25117259,23924524.8097413,42236.5488846468,111762744.527179,291345.302987397,0.0950755911326157,1071907.03048393,0.78560579691633,0.144993729110419,1.33535803988684
"485",2020-05-31,"Hauts-de-France",6059.70903445465,0.082668388691595,18921.9816214852,181012.20299186,671.946936511867,821737.232794075,24207254.2921426,42236.6329497529,112812734.501643,282729.482401328,0.0840651061065641,1049989.9744639,0.777682333738254,0.144991851134693,1.32914196354212
"486",2020-06-01,"Hauts-de-France",5991.79729147345,0.072538005573355,18515.9737316551,187004.000283334,672.01947451744,840253.20652573,24481559.1393176,42236.7072798011,113838563.845547,274304.847174914,0.0743300482356037,1025829.34390473,0.770041387774757,0.144969572063026,1.32178552936013
"487",2020-06-02,"Hauts-de-France",5917.05015999041,0.0639507977060815,18339.5380996224,192921.050443324,672.083425315146,858592.744625353,24747635.6445711,42236.7730024346,114835475.747718,266076.505253547,0.0657226334304445,996911.902170872,0.762673813185851,0.144925219449635,1.31534303930737
"488",2020-06-03,"Hauts-de-France",5836.19225175823,0.0562700008642309,18100.1517228323,198757.242695083,672.13969531601,876692.896348185,25005684.2456399,42236.8311146413,115807088.247121,258048.601068809,0.0581122067015952,971612.499403206,0.755570567265692,0.144889000746002,1.30890611635549
"489",2020-06-04,"Hauts-de-France",5749.91341936946,0.0495503608405551,17913.5772465989,204507.156114452,672.189245676851,894606.473594784,25255908.5714521,42236.8824978974,116755038.251331,250224.325812218,0.0513832561132106,947950.004209731,0.748722725476631,0.144859424290544,1.3029523426849
"490",2020-06-05,"Hauts-de-France",5658.8670244602,0.0435709728789059,17628.8088662763,210166.023138912,672.23281664973,912235.28246106,25498514.5190479,42236.9279315545,117681094.627946,242605.947595797,0.0454336570963373,926056.376614349,0.742121496559861,0.144835271962268,1.29601102094794
"491",2020-06-06,"Hauts-de-France",5563.6690747686,0.0379726366287473,17168.1152191568,215729.692213681,672.270789286358,929403.397680217,25733709.3753133,42236.9681046749,118585172.708685,235194.856265385,0.0401731203920177,904078.080739658,0.735758237134467,0.144815549023576,1.28842369215406
"492",2020-06-07,"Hauts-de-France",5464.89781553289,0.0328583437869776,16963.4956499208,221194.590029214,672.303647630145,946366.893330138,25961700.9929303,42237.0036264949,119465899.720581,227991.617616961,0.0355218199963968,880727.01189571,0.729624465346065,0.144799443158376,1.28062706739747
"493",2020-06-08,"Hauts-de-France",5363.09416411045,0.0284123916841334,16628.5340743152,226557.684193324,672.33206002183,962995.427404453,26182697.0254056,42237.0350356751,120325524.113322,220996.032475324,0.0314091802245035,859624.392740718,0.723711873281018,0.144786291020273,1.27670092303114
"494",2020-03-24,"Normandie",4.49858743900663,1.55968396004907,10.5864299256572,24.7503354584291,8.3734310855,57.5935820832034,43523.9934549644,7094.7095927794,132678.770792294,5584.83360422011,280.022855513499,20911.4595864721,1.89541559244504,0.449294017201245,3.34310000198022
