"","Auvergne-Rhône-Alpes","Bourgogne-Franche-Comté","Bretagne","Corse","Grand Est","Hauts-de-France","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","Provence-Alpes-Côte d'Azur","Île-de-France","France-hopitaux","France-OC19"
"1712",3.28614736065281,3.32163404410019,3.06535648043683,3.48663139187523,3.24249266340093,3.37452952680934,3.21408934279597,3.34066373504565,3.18432607435372,3.39575305559094,3.13968685385531,3.2435691896051,3.44483228801431,3.3561739334719
"1713",3.30031141628603,3.29123207767474,3.26012629659105,3.31296865236361,3.30144227993649,3.28290449896048,3.30311699869919,3.28061346233907,3.2755559052827,3.29430933083975,3.25659612871078,3.26523195102501,3.2698810045761,3.26383089672676
"1714",3.46667061708727,2.65638378027372,3.29499587986525,3.01057922844466,3.02289307382638,3.65280723716572,3.38579527037652,3.43500807381618,3.1990942385722,3.14003575615114,3.10253552465926,3.31737040985738,3.21705260582767,3.37176905989251
"1715",3.30031141628603,3.29123207767474,3.26012629659105,3.31296865236361,3.30144227993649,3.28290449896048,3.30311699869919,3.28061346233907,3.2755559052827,3.29430933083975,3.25659612871078,3.26523195102501,3.2698810045761,3.26383089672676
"1716",3.30031141628603,3.29123207767474,3.26012629659105,3.31296865236361,3.30144227993649,3.28290449896048,3.30311699869919,3.28061346233907,3.2755559052827,3.29430933083975,3.25659612871078,3.26523195102501,3.2698810045761,3.26383089672676
"1717",3.26579152701139,3.00069979533658,3.47351821163768,3.14713867615742,3.50072361855182,2.63824754638643,3.20066755288741,3.23598033749499,3.06236968741622,2.87480133440277,3.21052831341532,3.5006657475223,3.47888686734513,3.8628419941234
"1718",3.31819590141321,3.31798239667194,3.23339042929544,2.91641972808428,3.54156552863807,3.48429501132715,3.17455246475644,3.32598735628835,3.34530465376818,3.20235597755556,3.14305963012048,3.42880472406181,3.17322518094331,3.44786820332096
"1719",3.30031141628603,3.29123207767474,3.26012629659105,3.31296865236361,3.30144227993649,3.28290449896048,3.30311699869919,3.28061346233907,3.2755559052827,3.29430933083975,3.25659612871078,3.26523195102501,3.2698810045761,3.26383089672676
"1720",3.12000814519518,3.55103026991915,3.60509600307862,3.21715300261297,3.3254654170731,2.59959563390281,3.35414685113542,3.44600549404297,2.83139780746729,2.90798661072,3.6495335123444,3.09312148917582,3.47743685510257,3.58657912446988
"1721",3.2398326569397,3.27390635401016,3.28368073832612,3.25131306807726,3.26117442733954,3.29370271250584,3.29047350496651,3.26343173923194,3.27788265517754,3.25519906542129,3.35054138430339,3.3696967432454,3.26149917666296,3.33632312021642
