"","time","country","region","reported_cases","reported_cases_c","predicted_cases_c","predicted_min_c","predicted_max_c","predicted_cases","predicted_min","predicted_max","predicted_min2","predicted_max2","deaths","deaths_c","estimated_deaths_c","death_min_c","death_max_c","estimated_deaths","death_min","death_max","death_min2","death_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"456",2020-03-17,"France","France",1210,6627,786377.902639901,608143.813204194,1021446.92508026,122792.119692391,95650.9900221272,158161.177099943,111635.384001026,132228.370615442,21,148,183.150814330923,141.694869438038,235.568949020392,39.8259492748259,32.5004115500586,48.6314502303241,37.0077807718571,42.3527753964371,2.51092144887609,2.28795035680027,2.74021313527504,2.43288608373174,2.59100055591444
"457",2020-03-18,"France","France",1097,7724,904080.523494756,699851.651373403,1173519.90484612,117702.620854855,91707.8381692093,152072.979765861,107136.192468535,126603.894109722,27,175,233.89978455759,183.596017475057,296.829208521186,50.7489702266672,41.9011480370187,61.2602595007938,47.3351672541503,53.8258080585724,1.9882565336718,1.80085314385907,2.18153180705909,1.92173185083582,2.05386984933979
"458",2020-03-19,"France","France",1404,9128,1011580.18470447,784036.342905794,1311958.0810932,107499.66120971,84184.6915323907,138438.176247083,97766.2076641505,115601.192639679,69,244,298.429362537857,237.442258166381,373.986600784862,64.5295779802672,53.8462406913237,77.1573922636756,60.3842617366833,68.2928339966307,1.54728940374129,1.39028300798882,1.71409717843662,1.49303782254217,1.60266614726486
"459",2020-03-20,"France","France",1861,10989,1105470.77800443,857874.501673625,1433518.51443513,93890.5932999665,73838.1587678304,121560.433341924,85574.5473508816,100913.92806785,128,372,380.177291964595,306.549403172936,470.705507931776,81.7479294267383,69.1071450065549,96.718907146914,76.8953953631224,86.3699041704141,1.19323037236385,1.06730265856684,1.32762184227801,1.14851677759309,1.23774492074695
"460",2020-03-21,"France","France",1617,12606,1186227.14914946,921033.01200308,1537894.43705668,80756.371145023,63158.5103294551,104375.92262155,73443.7381473781,86908.0642060242,78,450,483.141689860661,394.083345587509,591.279942246519,102.964397896066,87.5339424145739,120.574434314743,97.0773833661184,108.581172975267,0.940123183716516,0.839402090942628,1.05077901152439,0.9032966096917,0.975684543839936
"461",2020-03-22,"France","France",1847,14453,1256808.03308344,976554.374309118,1629469.89759491,70580.8839339861,55521.3623060383,91575.4605382336,64239.7137863683,75932.1053692795,112,562,611.782374689205,504.572786685684,740.738715677035,128.640684828544,110.489441098174,149.458773430516,121.52488400022,135.386917556621,0.779726734145616,0.704662313689824,0.861704763940905,0.750433192391162,0.806611940121029
"462",2020-03-23,"France","France",1559,16012,1320619.5249059,1026631.60076683,1711692.47599207,63811.4918224577,50077.22645771,82222.5783971601,58147.2330620842,68726.3787372907,112,674,770.841289430769,642.013129136463,924.547607827107,159.058914741564,137.440342450779,183.808892150072,150.613011227009,166.989937520568,0.690559139193481,0.624592477174904,0.759436296713953,0.665933128972858,0.712798790474609
"463",2020-03-24,"France","France",3838,19850,1380074.28937694,1073097.0825237,1788618.45839057,59454.7644710446,46465.4817568718,76925.982398503,54070.5300598178,64065.7163659452,186,860,965.080409512509,810.632161553033,1147.67542492386,194.23912008174,168.61903241657,223.127817096752,184.27547328891,203.704865445454,0.647252619166359,0.583515469446793,0.715015809258928,0.624090292491658,0.66920635003407
"464",2020-03-25,"France","France",2446,22296,1436744.08867908,1117362.41323161,1862508.95754854,56669.7993021359,44265.3307079072,73890.4991579713,51563.8358725791,61101.406916671,240,1100,1198.98802064524,1014.64090547806,1415.20525596484,233.907611132736,204.008743925027,267.529831040976,222.261520795044,244.948668372498,0.633435476533351,0.569237917100773,0.70074284986322,0.610080018810573,0.65609168747386
"465",2020-03-26,"France","France",2931,25227,1490379.06367847,1158964.38569686,1932688.85404924,53634.9749993862,41601.972465251,70179.8965006925,48637.0493400425,57880.4450501642,231,1331,1476.49539956624,1257.54244691779,1732.23723628619,277.507378921,242.901541439728,317.031980321351,263.7829332764,290.200969391955,0.624567258785679,0.559670503642544,0.691918807056141,0.601013252541894,0.647083401285492
