"","Auvergne-Rhône-Alpes","Bourgogne-Franche-Comté","Bretagne","Corse","Grand Est","Hauts-de-France","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","Provence-Alpes-Côte d'Azur","Île-de-France","France-hopitaux","France-OC19","France"
"12",3.02340418143345,3.42848795526715,3.67000672205856,2.87713235418629,3.11101885223363,3.140486340334,3.59129219619156,3.38048372184093,3.17996257949392,3.03503969232747,3.58461590619584,3.39244626313931,3.54301660617254,3.52559890209588,3.13093809734746
"13",2.6746490484899,2.93233731879493,3.31196185292743,3.42571212953434,2.98892911872504,3.1351912604579,3.89128393583985,4.22790477666868,3.55651782273844,2.53322919707458,3.62749686714102,3.64213473214324,3.8526270182443,3.19580827093639,3.69249874108219
"14",3.00652288334195,3.48860851356617,3.51197763966821,3.56107089407638,3.19007240375349,3.02384125392752,3.05585055257499,3.68311970860269,3.13899064723291,3.20619566670532,3.36743003728524,3.59565103543578,3.67811176460626,3.39832350446116,3.3146445353898
"15",3.33529697330858,3.74781649513676,3.00700844260155,3.62137287714578,3.03822732186095,2.63682066587281,2.87731653359568,3.11532241211217,3.64918960633527,4.40825577259731,3.10986295494824,4.11246078367705,3.42962012404799,3.82799203675044,3.52846381694662
"16",3.24991277731463,3.24674865042019,3.23629858576122,3.24599065750071,3.28526289537467,3.32062161606998,3.28608911411385,3.28974193163408,3.29519937088195,3.26901850287849,3.2844093852476,3.26575593259372,3.27225386862134,3.29597601225703,3.22132450816685
"17",3.2156781337777,3.1070296020114,3.56407702636319,2.86204550462427,3.48590521807407,2.26103291929641,3.49763600453346,3.13389317690678,2.95312618240847,3.39364129272464,3.26960099193929,3.13550492770633,4.09707657413636,3.12424766115702,3.20073400266377
"18",3.24312226377504,3.35309073028264,3.22496977207688,3.01183108150027,3.17321851663942,2.84446298975484,3.31072543617915,3.13959299420945,3.30116195252205,3.48988675221677,2.56396479781341,3.1626358104594,3.75823423022538,3.27367260470168,3.27679259487529
"19",2.83935418215086,3.44176660828593,3.09186237000585,2.41190797013509,3.60143197904674,2.81944316853071,3.31341050096065,3.21277967618942,2.99023903779063,3.13871122138073,3.14453787964515,3.6123913185129,3.55363057470635,3.85310639685343,3.60053532505033
"20",3.20680129850983,3.42007919503553,3.2753718788497,3.4424748979387,3.29559633792689,2.80742937146738,3.50567226921189,3.61492090363696,3.76841081341842,3.72637896873938,3.16332949777896,3.62714301176538,3.12495603254254,3.73730496999341,3.47407235467991
"21",3.2358629095765,3.65687177900135,3.41331576970386,3.44802751559952,3.3255327492273,3.35977532192391,2.98394542655506,3.47185824114385,3.33292242800831,3.36820010503031,3.40573840531635,3.74071474016507,3.12839236567065,3.60140462281593,3.22829690539137
"22",3.30017941568745,3.23882090556814,3.27517119370144,3.3409030713917,3.1374978020731,3.15460133183123,3.07342578435928,3.10539549384559,3.34086003364904,3.48362260757612,3.28004390740921,3.22804030142127,3.30768467426908,3.27408991505687,3.27974054302099
"23",3.65636903604318,4.15030934574546,3.13360277198581,3.04150860799288,4.07859544618133,2.35213876047083,2.48659868036876,2.0870847354472,3.23429940086685,3.86292966039642,3.51409054992482,3.71721124044584,3.42743068542105,4.10327546674262,3.54780593472558
"24",2.70954666510254,3.33946467966359,3.42382716296849,2.97850083005261,3.26200429743538,2.87388665111076,3.2911346544511,3.71599999737634,2.86917249573664,3.06557682855132,3.42040675355165,3.23868789711633,3.69242542636579,3.67163563582793,3.24058961240059
"25",3.43382751051365,3.54107754418698,3.88210847585754,2.84319520399778,3.65841973172906,2.69034152853743,2.87442619078905,3.09853785536995,3.05892799395219,3.59284957427491,3.49726533050879,4.2775670313906,3.87632612508361,3.48918525945977,3.22751510395924
"26",3.34745095082605,3.24806027362373,3.37083080515331,3.30096386376498,3.39781873902851,3.14930746199713,3.27169672250762,3.28677674810616,3.34849537809299,3.39014727271757,3.43050036623098,3.36383011070978,3.2825818786821,3.26790252023264,3.16405787777243
"27",3.42700006324477,3.61028776188567,3.37700286220302,3.35320403489111,3.47000827579349,2.90278098123655,3.297921048279,3.1877372578239,3.34579318220005,3.47007793771957,3.64704045159449,3.59930633100261,4.08251560930363,3.64157239765191,3.66948388322458
